Order_ID,Order_Date,Order_Time,Order_Month,Order_DayOfWeek,Order_Status,Customer_ID,Customer_Name,Customer_Phone,Customer_Type,Delivery_Country,Delivery_City,Delivery_Area,Delivery_Address,Delivery_Latitude,Delivery_Longitude,Restaurant_ID,Restaurant_Brand,Restaurant_Category,Restaurant_Cuisine,Restaurant_Founded,Restaurant_Country,Restaurant_City,Restaurant_Area,Restaurant_Address,Restaurant_Latitude,Restaurant_Longitude,Restaurant_Rating,Restaurant_OnFoodpanda_Since,Restaurant_IsChain,Product_Name,Product_Category,Quantity,Unit_Price_USD,Unit_Cost_USD,Order_Subtotal_USD,Delivery_Fee_USD,Discount_USD,Promo_Code,Net_Order_Value_USD,Food_Cost_USD,Restaurant_Commission_USD,Packaging_Cost_USD,Rider_Salary_Cost_USD,Marketing_Cost_USD,Platform_Fee_USD,Gross_Revenue_USD,Total_Cost_USD,Gross_Profit_USD,Foodpanda_Net_Rev_USD,Profit_Margin_Pct,Payment_Method,Payment_Status,Rider_ID,Rider_Name,Delivery_Time_Min,On_Time,Rider_Rating,Customer_Rating,Panda_Pro_Member,App_Platform,Is_Late_Night_Order,Is_Weekend
FP-003536,2024-01-01,18:24,Jan-2024,Monday,Late Delivered,CUST-00552,Sara Ahmed,+83910637681,Returning,Singapore,Singapore,Marina,"288 Block 17, Marina",1.327297,103.878187,REST-0075,Dragon Palace,Fine Dining,Chinese,2001,Singapore,Singapore,Bugis,141 Park Lane,1.266854,103.882834,3.4,2022,No,Peking Duck Roll,Chinese,3,23.53,7.73,70.59,1.27,10.18,SAVE15,61.68,23.19,15.26,0.94,3.8,4.39,1.66,71.86,32.32,29.36,9.06,40.86,Credit Card,Paid,RIDER-0181,Juan Nguyen,20,Yes,4.9,3.2,No,Web,No,No
FP-000750,2024-01-01,07:54,Jan-2024,Monday,Refunded,CUST-00545,Raj Wong,+88920772671,Loyal,Pakistan,Lahore,Gulberg,"199 Lane 13, Gulberg",31.51792,74.384172,REST-0014,Domino's,Fast Food,Italian,1960,Pakistan,Lahore,DHA,46 Main St,31.520222,74.369786,4.8,2020,Yes,Penne Arrabbiata,Italian,3,11.38,3.04,34.14,1.75,4.8,SAVE15,31.09,9.12,4.69,0.42,1.32,1.43,0.84,35.89,12.29,18.8,4.11,52.38,Debit Card,Refunded,RIDER-0107,Maria Ahmed,34,Yes,3.8,3.7,Yes,iOS,No,No
FP-002487,2024-01-01,13:52,Jan-2024,Monday,Refunded,CUST-00216,Nina Kim,+97582008349,New,Hong Kong,Hong Kong,Central,"269 Lane 19, Central",22.354248,114.186777,REST-0148,Wok & Roll,Fast Food,Chinese,2009,Hong Kong,Hong Kong,Central,87 Park Lane,22.28609,114.1275,4.9,2019,No,Dim Sum Basket,Chinese,1,19.01,6.2,19.01,6.28,5.21,NEWUSER30,20.08,6.2,3.21,0.56,1.92,0.59,0.6,25.29,9.27,10.81,7.02,42.74,Credit Card,Refunded,RIDER-0178,Emily Khan,50,No,2.7,2.8,No,Android,No,No
FP-001551,2024-01-01,15:05,Jan-2024,Monday,Late Delivered,CUST-00540,Zara Chaudhry,+63712335251,Returning,Taiwan,Taichung,Beitun,"11 Block 1, Beitun",24.100647,120.626236,REST-0131,Crispy Wings,Fast Food,American,2016,Taiwan,Taichung,Xitun,196 Market Rd,24.181629,120.711726,4.2,2022,No,Loaded Fries,American,2,8.36,2.21,16.72,1.17,0.0,,17.89,4.42,3.14,0.6,1.73,1.08,0.52,17.89,7.83,10.06,1.42,56.23,Credit Card,Paid,RIDER-0117,Omar Chaudhry,20,Yes,4.8,4.3,No,Android,No,No
FP-000382,2024-01-01,20:58,Jan-2024,Monday,Delivered,CUST-00680,Wei Yamamoto,+77453932473,New,Myanmar,Yangon,Bahan,"60 Street 13, Bahan",16.873409,96.195236,REST-0167,Burger King,Fast Food,American,1953,Myanmar,Yangon,Bahan,87 Food Ave,16.912083,96.229703,3.7,2022,Yes,Apple Pie,American,3,2.05,0.53,6.15,1.58,0.0,,7.73,1.59,1.07,0.24,1.13,0.42,0.22,7.73,3.38,4.35,1.08,56.27,Digital Wallet,Paid,RIDER-0149,Nina Rahman,31,Yes,3.9,3.0,No,iOS,No,No
FP-003288,2024-01-01,12:11,Jan-2024,Monday,Late Delivered,CUST-00148,Hassan Sharma,+93330997172,New,Pakistan,Islamabad,F-7,"266 Block 15, F-7",33.690866,73.0902,REST-0026,Dragon Palace,Fine Dining,Chinese,2001,Pakistan,Islamabad,F-7,175 Park Lane,33.725304,73.077543,4.3,2016,No,Mapo Tofu,Chinese,3,8.59,2.48,25.77,0.92,2.29,WEEKEND10,24.4,7.44,4.13,0.39,1.05,1.04,0.95,26.69,9.92,14.48,3.52,54.25,Credit Card,Paid,RIDER-0100,Aisha Cruz,19,Yes,3.0,3.2,No,iOS,No,No
FP-001901,2024-01-01,12:59,Jan-2024,Monday,Late Delivered,CUST-00573,Raj Costa,+81823494111,Loyal,Pakistan,Karachi,DHA,"256 Lane 8, DHA",24.859942,67.00959,REST-0002,Domino's,Fast Food,Italian,1960,Pakistan,Karachi,Clifton,179 Park Lane,24.884688,67.035433,4.4,2019,Yes,Lasagne,Italian,1,12.79,3.54,12.79,0.74,0.0,,13.53,3.54,2.6,0.46,2.01,0.69,0.33,13.53,6.7,6.83,0.51,50.48,Cash on Delivery,Paid,RIDER-0087,Kim Wang,34,Yes,4.9,4.3,No,iOS,No,No
FP-000377,2024-01-01,01:59,Jan-2024,Monday,Refunded,CUST-00162,Thanh Yamamoto,+86393310667,Loyal,Myanmar,Yangon,Bahan,"174 Street 16, Bahan",16.888903,96.143203,REST-0170,Ichiban Boshi,Casual Dining,Japanese,1993,Myanmar,Yangon,Sanchaung,190 Commerce Blvd,16.838794,96.161139,4.5,2022,Yes,Chicken Teriyaki,Japanese,3,9.05,2.93,27.15,1.48,2.49,WEEKEND10,26.14,8.79,4.93,0.27,1.47,1.12,0.58,28.63,11.65,14.49,4.13,50.61,Digital Wallet,Refunded,RIDER-0156,Wei Costa,32,Yes,4.5,3.1,Yes,Android,Yes,No
FP-001100,2024-01-01,15:21,Jan-2024,Monday,Delivered,CUST-00116,Aisha Silva,+83971630639,Returning,Myanmar,Yangon,Sanchaung,"281 Lane 5, Sanchaung",16.827995,96.214753,REST-0161,Subway,Fast Food,American,1965,Myanmar,Yangon,Sanchaung,134 Commerce Blvd,16.859735,96.172613,4.8,2016,Yes,Onion Rings,American,5,3.27,0.98,16.35,0.75,0.0,,17.1,4.9,3.29,0.27,1.43,1.12,0.49,17.1,7.72,9.38,1.71,54.85,Cash on Delivery,Paid,RIDER-0101,Aisha Yamamoto,74,No,3.4,4.6,Yes,iOS,No,No
FP-001640,2024-01-01,10:52,Jan-2024,Monday,Delivered,CUST-00753,Aisha Singh,+89471686188,Loyal,Cambodia,Phnom Penh,BKK1,"279 Lane 19, BKK1",11.583902,104.959622,REST-0158,Pho Saigon,Casual Dining,Vietnamese,2009,Cambodia,Phnom Penh,BKK1,122 Food Ave,11.596689,104.927482,3.3,2022,No,Banh Mi Sandwich,Vietnamese,4,5.41,1.6,21.64,0.73,0.0,,22.37,6.4,3.43,0.23,1.4,1.19,0.8,22.37,9.22,13.15,2.14,58.78,Credit Card,Paid,RIDER-0032,Sofia Chaudhry,44,No,4.9,4.9,No,Android,No,No
